SIS ID,School SIS ID,First Name,Last Name,Username,Password,State ID,Secondary Email,Student Number,Middle Name,Grade,Status,Birthdate,Graduation Year
13024,10001,Angelina,Craig,Acraig,P@ssword,WA,,13029,Daniel,11,Active,6/2/1999,2018
13025,10001,Earnest,Rome,Erome,P@ssword,WA,,13030,Troy,9,Active,7/6/2001,2020
13026,10001,Madeline,Sargent,Msargent,P@ssword,WA,,13031,Grace,10,Active,9/19/2000,2019
13027,10001,Gene,Angulo,Gangulo,P@ssword,WA,,13032,Francis,9,Active,3/27/1997,2019
13028,10001,Daphne,Bentley,Dbentley,P@ssword,WA,,13033,Robert,11,Active,4/15/1998,2017
13029,10001,Dora,Montgomery,Dmontgomery,P@ssword,WA,,13034,Grace,10,Active,5/7/1999,2017
13030,10001,Bertha,Nolan,Bnolan,P@ssword,WA,,13035,Christopher,9,Active,2/27/2001,2020
13031,10001,Stacey,Foltz,Sfoltz,P@ssword,WA,,13036,Lynn,12,Active,8/29/2000,2019
13032,10001,Wilma,Aguirre,Waguirre,P@ssword,WA,,13037,Francis,10,Active,6/16/1999,2018
13033,10001,Forrest,Downes,Fdownes,P@ssword,WA,,13038,Robert,9,Active,3/13/2001,2020
13034,10001,Noah,Roger,Nroger,P@ssword,WA,,13039,James,12,Active,3/11/2000,2019
13035,10001,Tracy,Baxley,Tbaxley,P@ssword,WA,,13040,Wilma,10,Active,4/22/1998,2017
13036,10001,Federico,Fiore,FFiore,P@ssword,WA,,13041,Pat,9,Active,4/2/2000,2020
13037,10001,Nancy,Mendoza,NMendoza,P@ssword,WA,,13042,Corey,10,Active,11/12/1999,2019
13038,10001,Luther,Briley,LBriley,P@ssword,WA,,13043,Kelly,12,Active,12/19/1997,2017
13039,10001,Norbert,Lunn,NLunn,P@ssword,WA,,13044,Taylor,9,Active,6/20/2000,2020
13040,10001,Fidel,Obryan,FObryan,P@ssword,WA,,13045,Kiley,11,Active,5/17/1998,2018
13041,10001,Byron,Montenegro,BMontenegro,P@ssword,WA,,13046,Terry,10,Active,8/22/1999,2019
13042,10001,Blaine,Dulaney,BDulaney,P@ssword,WA,,13047,Kris,9,Active,7/27/2000,2020
13043,10001,Dennis,Word,DWord,P@ssword,WA,,13048,Pat,12,Active,3/25/1997,2017
13044,10001,Coy,Whiteman,CWhiteman,P@ssword,WA,,13049,Corey,11,Active,4/29/1998,2018
13045,10001,Rosie,Ingram,RIngram,P@ssword,WA,,13050,Kelly,9,Active,6/5/2000,2020
13046,10001,Anita,Miranda,AMiranda,P@ssword,WA,,13051,Taylor,10,Active,10/13/1999,2019
13047,10001,Jerri,Noel,JNoel,P@ssword,WA,,13052,Kiley,9,Active,5/11/1998,2020
13048,10001,Dona,Small,DSmall,P@ssword,WA,,13053,Terry,11,Active,8/13/1999,2018
13049,10001,Erik,Theriault,ETheriault,P@ssword,WA,,13054,Kris,10,Active,7/6/2000,2019
13050,10001,Earnestine,Mosley,Emosley,P@ssword,WA,,13055,Pat,9,Active,3/19/1997,2020
13051,10001,Jimmie,Petty,JPetty,P@ssword,WA,,13056,Corey,12,Active,4/10/1998,2017
13052,10001,Burton,Saul,BSaul,P@ssword,WA,,13057,Kelly,10,Active,5/17/1999,2019
13053,10001,Juanita,Hardy,JHardy,P@ssword,WA,,13058,Taylor,9,Active,2/17/2001,2020
13054,10001,Benny,Vanover,BVanover,P@ssword,WA,,13059,Kiley,10,Active,8/9/2000,2019
13055,10001,Harrison,Badillo,HBadillo,P@ssword,WA,,13060,Terry,11,Active,6/17/1999,2018
13056,10001,Jorge,Bevins,JBevins,P@ssword,WA,,13061,Kris,9,Active,3/19/2001,2020
13057,10001,Briana,Tyson,BTyson,P@ssword,WA,,13062,Pat,10,Active,3/10/2000,2019
13058,10001,Shelby,Abbott,SAbbott,P@ssword,WA,,13063,Corey,12,Active,4/3/1998,2017
13059,10001,Carlos,Lauer,CLauer,P@ssword,WA,,13064,Kelly,9,Active,4/13/2001,2020
13060,10001,Kristi,Kaufman,KKaufman,P@ssword,WA,,13065,Taylor,10,Active,2/1/2000,2019
13061,10002,Sophia,Wilder,SWilder,P@ssword,WA,,13066,Kiley,11,Active,8/12/1999,2018
13062,10002,Angelita,Valentine,AValentine,P@ssword,WA,,13067,Terry,9,Active,3/6/2001,2020
13063,10002,Dexter,Wyant,DWyant,P@ssword,WA,,13068,Kris,10,Active,7/2/2000,2019
13064,10002,Monique,McMillan,MMcMillan,P@ssword,WA,,13069,Pat,11,Active,6/2/1999,2018
13065,10002,Miles,Runyan,MRunyan,P@ssword,WA,,13070,Corey,9,Active,7/6/2001,2020
13066,10002,Liza,Grimes,LGrimes,P@ssword,WA,,13071,Kelly,10,Active,9/19/2000,2019
13067,10002,Mara,Alford,MAlford,P@ssword,WA,,13072,Taylor,9,Active,3/27/1997,2020
13068,10002,Alison,Ochoa,AOchoa,P@ssword,WA,,13073,Kiley,11,Active,4/15/1998,2018
13069,10002,Leslie,Navarro,LNavarro,P@ssword,WA,,13074,Terry,10,Active,5/7/1999,2019
13070,10002,Jo,Ochoa,JOchoa,P@ssword,WA,,13075,Kris,9,Active,2/27/2001,2020
13071,10002,Jacklyn,Steele,JSteele,P@ssword,WA,,13076,Pat,12,Active,8/29/2000,2017
13072,10002,Karyn,Dale,KDale,P@ssword,WA,,13077,Corey,10,Active,6/16/1999,2019
13073,10002,Ines,Meyers,IMeyers,P@ssword,WA,,13078,Kelly,9,Active,3/13/2001,2020
13074,10002,Vincent,Doucette,VDoucette,P@ssword,WA,,13079,Taylor,12,Active,3/11/2000,2017
13075,10002,Noemi,Chase,NChase,P@ssword,WA,,13080,Kiley,10,Active,4/22/1998,2019
13076,10002,Daryl,Flemming,DFlemming,P@ssword,WA,,13081,Terry,9,Active,4/2/2000,2020
13077,10002,Winnie,Carson,WCarson,P@ssword,WA,,13082,Kris,10,Active,11/12/1999,2019
13078,10002,Ilene,Valentine,IValentine,P@ssword,WA,,13083,Pat,12,Active,12/19/1997,2017
13079,10002,Alton,Wooley,AWooley,P@ssword,WA,,13084,Corey,9,Active,6/20/2000,2020
13080,10002,Lizzie,Stokes,LStokes,P@ssword,WA,,13085,Kelly,11,Active,5/17/1998,2018
13081,10002,Amos,Crumpton,ACrumpton,P@ssword,WA,,13086,Taylor,10,Active,8/22/1999,2019
13082,10002,Belinda,Orr,BOrr,P@ssword,WA,,13087,Kiley,9,Active,7/27/2000,2020
13083,10002,Desiree,Hawkins,DHawkins,P@ssword,WA,,13088,Terry,12,Active,3/25/1997,2017
13084,10002,Dane,McCullough,DMcCullough,P@ssword,WA,,13089,Kris,11,Active,4/29/1998,2018
13085,10002,Genevieve,Cole,GCole,P@ssword,WA,,13090,Pat,9,Active,6/5/2000,2020
13086,10002,Ramiro,Skeen,RSkeen,P@ssword,WA,,13091,Corey,10,Active,10/13/1999,2019
