SIS ID,School SIS ID,First Name,Last Name,Username,Password,State ID,Secondary Email,Student Number,Middle Name,Grade,Status,Mailing Address,Mailing City,Mailing State,Mailing Zip,Mailing Latitude,Mailing Longitude,Mailing Country,Residence Address,Residence City,Residence State,Residence Zip,Residence Latitude,Residence Longitude,Residence Country,Gender,Birthdate,ELL Status,FederalRace,Graduation Year
13016,10001,Bonnie,Hampton,PHampton,P@ssword,WA,,13016,Robert,12,Active,90 Hannon Court,Redmond,WA,98052,,,US,90 Hannon Court,Redmond,WA,98052,,,US,F,4/10/1998,,,2017
13017,10001,Dion,Matheson,DMatheson,P@ssword,WA,,13017,James,10,Active,19 Haydes Road,Redmond,WA,98052,,,US,19 Haydes Road,Redmond,WA,98052,,,US,M,5/17/1999,,,2017
13018,10001,Cesar,McCray,CMcCray,P@ssword,WA,,13018,Wilma,9,Active,19 Ebenezer Road,Redmond,WA,98052,,,US,19 Ebenezer Road,Redmond,WA,98052,,,US,M,2/17/2001,,,2020
13019,10001,Rickey,Cottle,Rcottle,P@ssword,WA,,13019,Forrest,10,Active,4 Carlisle Ave,Redmond,WA,98052,,,US,4 Carlisle Ave,Redmond,WA,98052,,,US,F,8/9/2000,,,2019
13020,10001,Fredrick,Markley,Fmarkley,P@ssword,WA,,13020,Noah,11,Active,6 Fieldchat Road,Redmond,WA,98052,,,US,6 Fieldchat Road,Redmond,WA,98052,,,US,M,6/17/1999,,,2018
13021,10001,Joshua,Bartels,Jbartels,P@ssword,WA,,13021,Tracy,9,Active,1997 Kendi Road,Redmond,WA,98052,,,US,1997 Kendi Road,Redmond,WA,98052,,,US,F,3/19/2001,,,2020
13022,10001,Maribel,Parsons,Mparsons,P@ssword,WA,,13022,Delmar,10,Active,31 Kilbride Road,Redmond,WA,98052,,,US,31 Kilbride Road,Redmond,WA,98052,,,US,M,3/10/2000,,,2019
13023,10001,Erma,Ballard,Eballard,P@ssword,WA,,13023,Maya,12,Active,12 Joppa Road,Redmond,WA,98052,,,US,12 Joppa Road,Redmond,WA,98052,,,US,F,4/3/1998,,,2017
13024,10001,Wilfred,Bevins,Wbevins,P@ssword,WA,,13024,Casey,9,Active,6 Vale Court,Redmond,WA,98052,,,US,6 Vale Court,Redmond,WA,98052,,,US,M,4/13/2001,,,2020
13025,10001,Rogelio,Cazares,Rcazares,P@ssword,WA,,13025,Hal,10,Active,21 Vermont Avenue,Redmond,WA,98052,,,US,21 Vermont Avenue,Redmond,WA,98052,,,US,F,2/1/2000,,,2019
13026,10001,Dixie,Morrison,Dmorrison,P@ssword,WA,,13026,Chris,11,Active,5 Cross Road,Redmond,WA,98052,,,US,5 Cross Road,Redmond,WA,98052,,,US,M,8/12/1999,,,2018
13027,10001,Williams,Bisson,Wbisson,P@ssword,WA,,13027,Roxanne,9,Active,21 Haydes Road,Redmond,WA,98052,,,US,21 Haydes Road,Redmond,WA,98052,,,US,F,3/6/2001,,,2020
13028,10001,Christie,Clayton,Cclayton,P@ssword,WA,,13028,Sherman,10,Active,24 Hannon Court,Redmond,WA,98052,,,US,24 Hannon Court,Redmond,WA,98052,,,US,M,7/2/2000,,,2019
13029,10001,Angelina,Craig,Acraig,P@ssword,WA,,13029,Daniel,11,Active,7 Santa Rita Road,Redmond,WA,98052,,,US,7 Santa Rita Road,Redmond,WA,98052,,,US,F,6/2/1999,,,2018
13030,10001,Earnest,Rome,Erome,P@ssword,WA,,13030,Troy,9,Active,18 Fieldchat Road,Redmond,WA,98052,,,US,18 Fieldchat Road,Redmond,WA,98052,,,US,M,7/6/2001,,,2020
13031,10001,Madeline,Sargent,Msargent,P@ssword,WA,,13031,Grace,10,Active,64 Carlisle Ave,Redmond,WA,98052,,,US,64 Carlisle Ave,Redmond,WA,98052,,,US,F,9/19/2000,,,2019
13032,10001,Gene,Angulo,Gangulo,P@ssword,WA,,13032,Francis,9,Active,92 Hannon Court,Redmond,WA,98052,,,US,92 Hannon Court,Redmond,WA,98052,,,US,M,3/27/1997,,,2019
13033,10001,Daphne,Bentley,Dbentley,P@ssword,WA,,13033,Robert,11,Active,25 Haydes Road,Redmond,WA,98052,,,US,25 Haydes Road,Redmond,WA,98052,,,US,F,4/15/1998,,,2017
13034,10001,Dora,Montgomery,Dmontgomery,P@ssword,WA,,13034,Grace,10,Active,11 Ebenezer Road,Redmond,WA,98052,,,US,11 Ebenezer Road,Redmond,WA,98052,,,US,M,5/7/1999,,,2017
13035,10001,Bertha,Nolan,Bnolan,P@ssword,WA,,13035,Christopher,9,Active,8 Carlisle Ave,Redmond,WA,98052,,,US,8 Carlisle Ave,Redmond,WA,98052,,,US,F,2/27/2001,,,2020
13036,10001,Stacey,Foltz,Sfoltz,P@ssword,WA,,13036,Lynn,12,Active,18 Fieldchat Road,Redmond,WA,98052,,,US,18 Fieldchat Road,Redmond,WA,98052,,,US,M,8/29/2000,,,2019
13037,10001,Wilma,Aguirre,Waguirre,P@ssword,WA,,13037,Francis,10,Active,1987 Kendi Road,Redmond,WA,98052,,,US,1987 Kendi Road,Redmond,WA,98052,,,US,F,6/16/1999,,,2018
13038,10001,Forrest,Downes,Fdownes,P@ssword,WA,,13038,Robert,9,Active,37 Kilbride Road,Redmond,WA,98052,,,US,37 Kilbride Road,Redmond,WA,98052,,,US,M,3/13/2001,,,2020
13039,10001,Noah,Roger,Nroger,P@ssword,WA,,13039,James,12,Active,18 Joppa Road,Redmond,WA,98052,,,US,18 Joppa Road,Redmond,WA,98052,,,US,F,3/11/2000,,,2019
13040,10001,Tracy,Baxley,Tbaxley,P@ssword,WA,,13040,Wilma,10,Active,10 Vale Court,Redmond,WA,98052,,,US,10 Vale Court,Redmond,WA,98052,,,US,M,4/22/1998,,,2017
